Mods count: 110
 
jar name                                                                | mod id (isMCreator)             | mixin configs
gtmutils-2.2.3.jar                                                      | gtmutils                        | examplemod.mixins.json
gtmvisualrecipeeditor-1.1.0.jar                                         | gtmvisualrecipeeditor           | 
guideme-20.1.12.jar                                                     | guideme                         | 
Iceberg-1.20.1-forge-1.1.25.jar                                         | iceberg                         | iceberg.mixins.json
ImmediatelyFast-Forge-1.5.0+1.20.4.jar                                  | immediatelyfast                 | immediatelyfast-common.mixins.json, immediatelyfast-forge.mixins.json
    /META-INF/jars/Reflect-1.3.4.jar                                    |                                 | 
insanelib-1.21.20.jar                                                   | insanelib                       | mixins.insanelib.json, mixins.insanelib.refmap.json
IntegratedCrafting-1.20.1-1.2.3.jar                                     | integratedcrafting              | 
IntegratedDynamics-1.20.1-1.27.6.jar                                    | integrateddynamics              | mixins.integrateddynamics.json, mixins.integrateddynamics.refmap.json
integratednbt-1.20.1-1.6.0.jar                                          | integratednbt                   | 
IntegratedScripting-1.20.1-1.0.14.jar                                   | integratedscripting             | 
IntegratedTerminals-1.20.1-1.6.9.jar                                    | integratedterminals             | 
IntegratedTunnels-1.20.1-1.8.42.jar                                     | integratedtunnels               | 
ItemPhysic_FORGE_v1.8.8_mc1.20.1.jar                                    | itemphysic                      | itemphysic.mixins.json, itemphysic.mixin.refmap.json
Jade-1.20.1-Forge-11.13.2.jar                                           | jade                            | jade.mixins.json
JadeAddons-1.20.1-Forge-5.5.0.jar                                       | jadeaddons                      | jadeaddons.mixins.json
konkrete_forge_1.8.0_MC_1.20-1.20.1.jar                                 | konkrete                        | konkrete.mixin-refmap.json, konkrete.mixin.json
kotlinforforge-4.11.0-all.jar                                           |                                 | 
    /META-INF/jarjar/kfflang-4.11.0.jar                                 |                                 | 
    /META-INF/jarjar/kfflib-4.11.0.jar                                  |                                 | 
    /META-INF/jarjar/kffmod-4.11.0.jar                                  | kotlinforforge                  | 
KryptonReforged-0.2.3.jar                                               | krypton                         | krypton.mixins.json
kubejs-forge-2001.6.5-build.16.jar                                      | kubejs                          | kubejs-common.mixins.json, kubejs-forge.mixins.json
